GO:0018857,GO:0018859
GO:0018857,GO:0018861
GO:0018858,GO:0003987
GO:0018858,GO:0034783
GO:0018859,GO:0018857
GO:0018859,GO:0018861
GO:0018860,GO:0034783
GO:0018860,GO:0047760
GO:0018861,GO:0018857
GO:0018861,GO:0018859
GO:0019091,GO:0019092
GO:0019092,GO:0019091
GO:0019182,GO:0022851
GO:0019206,GO:0050145
GO:0019243,GO:0019248
GO:0019248,GO:0019243
GO:0019263,GO:1901662
GO:0019352,GO:0019353
GO:0019353,GO:0019352
GO:0019367,GO:0019368
GO:0019368,GO:0019367
GO:0019427,GO:0019431
GO:0019431,GO:0019427
GO:0019440,GO:0019441
GO:0019440,GO:0019442
GO:0019441,GO:0019440
GO:0019442,GO:0019440
GO:0019444,GO:0019441
GO:0019488,GO:0019590
GO:0019528,GO:0019590
GO:0019564,GO:0019588
GO:0019590,GO:0019528
GO:0019610,GO:1901023
GO:0019615,GO:0019616
GO:0019616,GO:0019615
GO:0019617,GO:0019618
GO:0019618,GO:0019617
GO:0019624,GO:0019625
GO:0019625,GO:0019624
GO:0019680,GO:0046949
GO:0019697,GO:0019590
GO:0019702,GO:0106370
GO:0019709,GO:0018415
GO:0019709,GO:0018441
GO:0019716,GO:0018012
GO:0020028,GO:0140298
GO:0021703,GO:0021759
GO:0021713,GO:0021718
GO:0021718,GO:0021713
GO:0021724,GO:0021725
GO:0021724,GO:0021726
GO:0021725,GO:0021724
GO:0021725,GO:0021726
GO:0021726,GO:0021728
GO:0021726,GO:0021771
GO:0021728,GO:0021726
GO:0021731,GO:0021730
GO:0021735,GO:0021746
GO:0021735,GO:0021754
GO:0021736,GO:0021735
GO:0021736,GO:0021738
GO:0021737,GO:0021738
GO:0021738,GO:0021754
GO:0021739,GO:0021741
GO:0021740,GO:0021741
GO:0021741,GO:0021731
GO:0021742,GO:0021750
GO:0021742,GO:0021754
GO:0021745,GO:0021746
GO:0021745,GO:0021754
GO:0021746,GO:0021735
GO:0021748,GO:0021749
GO:0021749,GO:0021748
GO:0021750,GO:0021738
GO:0021752,GO:0021753
GO:0021753,GO:0021752
GO:0021754,GO:0021735
GO:0021754,GO:0021738
GO:0021757,GO:0021735
GO:0021761,GO:0002520
GO:0021762,GO:0021742
GO:0021763,GO:0021757
GO:0021768,GO:0021735
GO:0021768,GO:0021745
GO:0021771,GO:0021726
GO:0021783,GO:0048483
GO:0022851,GO:0022852
GO:0022852,GO:0019182
GO:0022852,GO:0022851
GO:0030075,GO:0031976
GO:0030150,GO:0045041
GO:0030177,GO:0030178
GO:0030178,GO:0030177
GO:0030259,GO:0036065
GO:0030367,GO:0045514
GO:0030367,GO:0045515
GO:0030378,GO:0008784
GO:0030378,GO:0018112
GO:0030380,GO:0030367
GO:0030380,GO:0045514
GO:0030437,GO:0034295
GO:0030437,GO:0075243
GO:0030495,GO:0030494
GO:0030504,GO:0015114
GO:0030505,GO:0006817
GO:0030546,GO:0030547
GO:0030547,GO:0030546
GO:0030549,GO:0030550
GO:0030550,GO:0030549
GO:0030634,GO:0006086
GO:0030662,GO:0030658
GO:0030717,GO:0061989
GO:0030729,GO:0047475
GO:0030729,GO:0047760
GO:0030835,GO:0030836
GO:0030836,GO:0030835
GO:0030837,GO:0030835
GO:0030838,GO:0030837
GO:0030937,GO:1990322
GO:0030937,GO:1990327
GO:0030938,GO:1990318
GO:0030943,GO:0000268
GO:0030944,GO:0005046
GO:0030944,GO:0045015
GO:0030979,GO:0051274
