GO:0019278,GO:0006049
GO:0019280,GO:0019281
GO:0019280,GO:0033516
GO:0019281,GO:0019280
GO:0019281,GO:0033516
GO:0019283,GO:0019279
GO:0019284,GO:0019509
GO:0019284,GO:1990355
GO:0019292,GO:0019293
GO:0019292,GO:0033584
GO:0019293,GO:0019292
GO:0019293,GO:0033584
GO:0019305,GO:0019308
GO:0019305,GO:0046371
GO:0019306,GO:0033471
GO:0019306,GO:0033472
GO:0019308,GO:0019305
GO:0019308,GO:0046383
GO:0019331,GO:0019332
GO:0019331,GO:0019409
GO:0019331,GO:0043554
GO:0019332,GO:0019409
GO:0019332,GO:0019410
GO:0019332,GO:0043554
GO:0019343,GO:0006535
GO:0019343,GO:0019345
GO:0019345,GO:0006535
GO:0019345,GO:0019343
GO:0019356,GO:0019359
GO:0019357,GO:0019359
GO:0019359,GO:0019357
GO:0019360,GO:0019357
GO:0019362,GO:0070637
GO:0019364,GO:0070638
GO:0019365,GO:0032261
GO:0019373,GO:0019371
GO:0019373,GO:0097267
GO:0019376,GO:0046479
GO:0019385,GO:0019386
GO:0019385,GO:0019387
GO:0019386,GO:0019385
GO:0019386,GO:0019387
GO:0019387,GO:0019386
GO:0019409,GO:0019332
GO:0019409,GO:0019412
GO:0019409,GO:0043554
GO:0019410,GO:0019332
GO:0019410,GO:0019412
GO:0019410,GO:0043554
GO:0019411,GO:0019410
GO:0019411,GO:0019412
GO:0019411,GO:0043554
GO:0019412,GO:0019332
GO:0019412,GO:0019410
GO:0019412,GO:0019411
GO:0019414,GO:0019332
GO:0019414,GO:0019411
GO:0019414,GO:0043554
GO:0019427,GO:0019431
GO:0019427,GO:1990181
GO:0019431,GO:0019427
GO:0019431,GO:1990181
GO:0019435,GO:0019436
GO:0019436,GO:0019435
GO:0019457,GO:0070690
GO:0019507,GO:0008614
GO:0019509,GO:0019284
GO:0019509,GO:1990355
GO:0019674,GO:0006739
GO:0019677,GO:0006734
GO:0019677,GO:0006742
GO:0019680,GO:0046949
GO:0019680,GO:1901887
GO:0019702,GO:0035241
GO:0019702,GO:0035244
GO:0019709,GO:0018415
GO:0019709,GO:0018417
GO:0019709,GO:0018441
GO:0019731,GO:0019732
GO:0019732,GO:0019731
GO:0019883,GO:0019884
GO:0019884,GO:0019883
GO:0019885,GO:0002476
GO:0019885,GO:0002491
GO:0019885,GO:0042590
GO:0019886,GO:0002477
GO:0019886,GO:0002491
GO:0019886,GO:0042590
GO:0020025,GO:0005876
GO:0020025,GO:1901588
GO:0021523,GO:0021524
GO:0021523,GO:0021525
GO:0021524,GO:0021523
GO:0021524,GO:0021525
GO:0021525,GO:0021524
GO:0021526,GO:0021522
GO:0021528,GO:0021522
GO:0021701,GO:0021707
GO:0021701,GO:0021710
GO:0021707,GO:0021701
GO:0021707,GO:0021709
GO:0021707,GO:0021710
GO:0021709,GO:0021707
GO:0021709,GO:0021710
GO:0021710,GO:0021701
GO:0021710,GO:0021707
GO:0021710,GO:0021709
GO:0021711,GO:0021707
GO:0021711,GO:0021709
GO:0021711,GO:0021710
GO:0021858,GO:1905962
GO:0021859,GO:0021953
GO:0021874,GO:0060593
GO:0021874,GO:0061289
GO:0021874,GO:0090244
GO:0021875,GO:0021899
GO:0021875,GO:0035607
GO:0021875,GO:0090243
GO:0021881,GO:0003306
GO:0021881,GO:0061289
GO:0021895,GO:0021522
GO:0021899,GO:0003135
GO:0021899,GO:0021875
GO:0021907,GO:0035607
GO:0021907,GO:0060825
GO:0021907,GO:0090243
GO:0021922,GO:0021874
GO:0021922,GO:0060593
GO:0021922,GO:0061289
